"HHID","h10q1","h10q2","h10q3","h10q4","h10q5a","h10q5b","h10q6","h10q7a","h10q7b","h10q7c","h10q7d","h10q9","h10q10","h10q11","h10q12","wgt_X"
"H18202-04-03",2,,,,,,2,,,,,8,2,6,3,367.4716796875
"H18202-04-04",2,,,,,,2,,,,,8,2,6,1,367.4716796875
"H18202-04-05",2,,,,,,2,,,,,8,2,6,1,367.4716796875
"H18202-04-06",2,,,,,,2,,,,,8,2,5,1,367.4716796875
"H18203-04-01",2,,,,,,2,,,,,8,2,5,2,2204.83032226563
"H18204-04-01",2,,,,,,2,,,,,8,2,5,2,1102.41516113281
"H18204-04-02",2,,,,,,2,,,,,8,2,6,1,1102.41516113281
"H18205-04-01",2,,,,,,2,,,,,8,2,7,3,1102.41516113281
"H18205-04-02",2,,,,,,2,,,,,8,2,6,1,1102.41516113281
"H18206-04-01",2,,,,,,2,,,,,8,2,6,1,1102.41516113281
"H18206-04-02",2,,,,,,2,,,,,8,2,6,3,1102.41516113281
"H18207-04-01",2,,,,,,2,,,,,8,2,3,1,1102.41516113281
"H18207-04-02",2,,,,,,2,,,,,8,2,4,1,1102.41516113281
"H18208-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H18209-04-01",2,,,,,,2,,,,,8,2,3,1,1102.41516113281
"H18209-04-02",2,,,,,,2,,,,,8,2,3,1,1102.41516113281
"H18210-04-01",2,,,,,,2,,,,,8,2,5,1,440.966064453125
"H18210-04-02",2,,,,,,2,,,,,8,2,6,1,440.966064453125
"H18210-04-03",2,,,,,,2,,,,,8,2,2,1,440.966064453125
"H18210-04-04",1,24,2,,,,2,,,,,6,2,8,3,440.966064453125
"H18210-04-05",2,,,,,,2,,,,,6,2,7,1,440.966064453125
"H18301-04-01",2,,,,,,2,,,,,8,2,6,3,314.975738525391
"H18301-04-02",2,,,,,,2,,,,,8,2,5,2,314.975738525391
"H18301-04-03",2,,,,,,2,,,,,8,2,6,1,314.975738525391
"H18301-04-04",2,,,,,,2,,,,,8,2,5,1,314.975738525391
"H18301-04-05",2,,,,,,2,,,,,8,1,8,1,314.975738525391
"H18301-04-06",2,,,,,,2,,,,,8,2,8,1,314.975738525391
"H18301-04-07",2,,,,,,2,,,,,8,2,6,1,314.975738525391
"H18302-04-01",2,,,,,,2,,,,,8,2,5,2,2204.83032226563
"H18303-04-01",2,,,,,,2,,,,,8,2,4,1,2204.83032226563
"H18305-04-01",2,,,,,,2,,,,,8,2,4,2,2204.83032226563
"H18306-04-01",2,,,,,,2,,,,,6,2,4,1,2204.83032226563
"H18307-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H18308-04-01",2,,,,,,2,,,,,8,2,5,1,2204.83032226563
"H18309-04-01",2,,,,,,2,,,,,8,2,10,1,2204.83032226563
"H18311-04-01",2,,,,,,2,,,,,8,2,7,1,1102.41516113281
"H18311-04-02",2,,,,,,2,,,,,6,2,4,3,1102.41516113281
"H18601-04-01",2,,,,,,2,,,,,8,2,6,1,551.207580566406
"H18601-04-02",2,,,,,,2,,,,,8,2,5,1,551.207580566406
"H18601-04-03",2,,,,,,2,,,,,8,2,6,2,551.207580566406
"H18601-04-04",2,,,,,,2,,,,,8,2,6,1,551.207580566406
"H18602-04-01",2,,,,,,2,,,,,8,2,2,1,2204.83032226563
"H18603-04-01",2,,,,,,2,,,,,8,2,2,1,2204.83032226563
"H18604-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H18605-04-01",2,,,,,,2,,,,,8,2,4,1,2204.83032226563
"H18606-04-01",2,,,,,,2,,,,,8,2,5,1,2204.83032226563
"H18607-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H18608-04-01",2,,,,,,2,,,,,8,2,5,1,2204.83032226563
"H18609-04-01",2,,,,,,2,,,,,8,2,5,1,2204.83032226563
"H18610-04-01",2,,,,,,1,0,0,0,0,8,1,7,1,2204.83032226563
"H18708-04-01",2,,,,,,2,,,,,6,2,3,2,2204.83032226563
"H18712-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H18801-04-01",2,,,,,,2,,,,,8,2,6,1,1102.41516113281
"H18801-04-02",2,,,,,,2,,,,,8,2,8,1,1102.41516113281
"H18802-04-01",2,,,,,,2,,,,,8,2,5,1,2204.83032226563
"H18803-04-01",2,,,,,,2,,,,,8,2,3,1,2204.83032226563
"H18804-04-01",2,,,,,,2,,,,,8,2,5,1,2204.83032226563
"H18805-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H18806-04-01",2,,,,,,2,,,,,8,2,6,1,734.943481445313
"H18806-04-02",2,,,,,,2,,,,,8,2,5,1,734.943481445313
"H18806-04-03",2,,,,,,2,,,,,8,2,8,1,734.943481445313
"H18807-04-01",2,,,,,,2,,,,,8,2,9,1,1102.41516113281
"H18807-04-02",2,,,,,,2,,,,,6,2,4,2,1102.41516113281
"H18808-04-01",2,,,,,,2,,,,,8,2,3,1,734.943481445313
"H18808-04-02",2,,,,,,2,,,,,8,2,4,3,734.943481445313
"H18808-04-03",2,,,,,,2,,,,,8,2,5,1,734.943481445313
"H18809-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H18810-04-01",2,,,,,,2,,,,,8,2,5,2,2204.83032226563
"H18901-04-01",2,,,,,,2,,,,,8,2,3,2,2204.83032226563
"H18902-04-01",2,,,,,,2,,,,,8,2,6,3,2204.83032226563
"H18904-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H18905-04-01",2,,,,,,2,,,,,8,2,7,1,2204.83032226563
"H18907-04-01",2,,,,,,2,,,,,8,2,8,3,2204.83032226563
"H18908-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H18909-04-01",2,,,,,,2,,,,,8,2,7,1,2204.83032226563
"H18910-04-01",2,,,,,,2,,,,,8,2,4,1,2204.83032226563
"H19001-04-01",2,,,,,,2,,,,,8,2,4,1,1102.41516113281
"H19001-04-02",2,,,,,,2,,,,,8,2,6,1,1102.41516113281
"H19002-04-01",2,,,,,,2,,,,,8,2,7,1,2204.83032226563
"H19004-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H19005-04-01",2,,,,,,2,,,,,8,2,3,1,2204.83032226563
"H19006-04-01",2,,,,,,2,,,,,8,2,6,3,2204.83032226563
"H19007-04-01",2,,,,,,2,,,,,8,2,5,1,2204.83032226563
"H19008-04-01",2,,,,,,2,,,,,8,2,9,1,551.207580566406
"H19008-04-02",2,,,,,,2,,,,,8,2,3,1,551.207580566406
"H19008-04-03",2,,,,,,2,,,,,6,2,2,2,551.207580566406
"H19008-04-04",2,,,,,,2,,,,,8,2,5,1,551.207580566406
"H19009-04-01",2,,,,,,2,,,,,8,2,7,1,2204.83032226563
"H19010-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H19101-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H19102-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H19103-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H19104-04-01",2,,,,,,2,,,,,8,2,6,3,2204.83032226563
"H19105-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H19106-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H19107-04-01",2,,,,,,2,,,,,8,2,6,1,734.943359375
"H19107-04-02",2,,,,,,2,,,,,8,2,4,1,734.943359375
"H19107-04-03",2,,,,,,2,,,,,8,2,6,1,734.943359375
"H19108-04-01",2,,,,,,2,,,,,8,2,4,2,734.943359375
"H19108-04-02",2,,,,,,2,,,,,8,2,9,1,734.943359375
"H19108-04-03",2,,,,,,2,,,,,8,2,4,2,734.943359375
"H19109-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H19110-04-01",2,,,,,,2,,,,,8,2,5,1,2204.83032226563
"H19201-04-01",2,,,,,,1,0,0,3500,1,8,2,6,1,2204.83032226563
"H19203-04-01",2,,,,,,2,,,,,8,2,10,1,2204.83032226563
"H19204-04-01",2,,,,,,2,,,,,8,2,7,1,2204.83032226563
"H19205-04-01",2,,,,,,2,,,,,8,2,3,1,1102.41516113281
"H19205-04-03",2,,,,,,2,,,,,8,2,5,1,1102.41516113281
"H19206-04-01",2,,,,,,2,,,,,8,1,4,1,2204.83032226563
"H19207-04-01",2,,,,,,2,,,,,8,2,5,1,2204.83032226563
"H19208-04-01",2,,,,,,2,,,,,8,2,5,1,2204.83032226563
"H19210-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H19211-04-01",2,,,,,,2,,,,,8,2,3,3,2204.83032226563
"H19212-04-01",2,,,,,,2,,,,,8,2,4,1,734.943359375
"H19212-04-02",2,,,,,,2,,,,,8,2,6,3,734.943359375
"H19212-04-03",2,,,,,,2,,,,,6,2,6,3,734.943359375
"H19401-04-01",2,,,,,,2,,,,,6,2,6,3,2464.5224609375
"H19402-04-01",2,,,,,,2,,,,,8,2,7,3,2464.5224609375
"H19404-04-01",1,4,3,,,,2,,,,,,,,,2464.5224609375
"H19406-04-01",2,,,,,,2,,,,,6,2,10,3,2464.5224609375
"H19407-04-01",2,,,,,,2,,,,,6,2,9,3,2464.5224609375
"H19409-04-01",2,,,,,,2,,,,,6,2,6,1,2464.5224609375
"H19501-04-01",2,,,,,,2,,,,,8,2,6,1,2464.5224609375
"H19502-04-01",2,,,,,,2,,,,,8,2,5,2,2464.5224609375
"H19504-04-01",2,,,,,,2,,,,,8,2,6,1,1232.26123046875
"H19504-04-02",2,,,,,,2,,,,,9,2,0,2,1232.26123046875
"H19505-04-01",2,,,,,,2,,,,,8,2,4,1,2464.5224609375
"H19506-04-01",2,,,,,,2,,,,,8,2,6,1,2464.5224609375
"H19507-04-01",2,,,,,,2,,,,,8,2,6,1,2464.5224609375
"H19508-04-01",2,,,,,,2,,,,,8,2,4,3,2464.5224609375
"H19509-04-01",2,,,,,,2,,,,,8,2,5,1,2464.5224609375
"H19510-04-01",2,,,,,,2,,,,,8,2,6,1,2464.5224609375
"H19602-04-01",2,,,,,,2,,,,,8,2,8,1,1232.26123046875
"H19602-04-02",2,,,,,,2,,,,,6,2,3,3,1232.26123046875
"H19603-04-01",2,,,,,,2,,,,,6,2,8,1,2464.5224609375
"H19604-04-01",2,,,,,,2,,,,,8,1,6,3,2464.5224609375
"H19605-04-01",2,,,,,,2,,,,,6,1,8,3,2464.5224609375
"H19607-04-01",2,,,,,,2,,,,,6,2,4,3,821.507507324219
"H19607-04-02",2,,,,,,2,,,,,,,,,821.507507324219
"H19607-04-03",2,,,,,,2,,,,,6,2,4,3,821.507507324219
"H19608-04-01",2,,,,,,2,,,,,6,2,10,1,2464.5224609375
"H19609-04-01",2,,,,,,2,,,,,6,2,6,3,2464.5224609375
"H19610-04-01",1,20,1,884,10000,30,2,,,,,6,2,7,1,2464.5224609375
"H19702-04-01",2,,,,,,2,,,,,8,1,2,3,616.130615234375
"H19702-04-02",1,10,8,,80000,30,1,0,0,6000,2,6,2,9,1,616.130615234375
"H19702-04-03",2,,,,,,2,,,,,6,2,7,1,616.130615234375
"H19702-04-04",2,,,,,,2,,,,,8,2,5,1,616.130615234375
"H19703-04-01",2,,,,,,2,,,,,8,2,7,1,1232.26123046875
"H19703-04-02",2,,,,,,2,,,,,8,2,6,3,1232.26123046875
"H19704-04-01",2,,,,,,2,,,,,8,2,7,1,2464.5224609375
"H19705-04-01",2,,,,,,2,,,,,8,2,7,1,2464.5224609375
"H19707-04-01",2,,,,,,2,,,,,8,2,6,1,2464.5224609375
"H19708-04-01",2,,,,,,2,,,,,8,2,7,1,2464.5224609375
"H19709-04-01",2,,,,,,2,,,,,8,2,6,1,2464.5224609375
"H19710-04-01",2,,,,,,2,,,,,8,2,8,1,2464.5224609375
"H19711-04-01",2,,,,,,2,,,,,8,2,7,1,2464.5224609375
"H20002-04-01",2,,,,,,2,,,,,8,2,6,1,2464.5224609375
"H20003-04-01",2,,,,,,2,,,,,8,2,1,3,2464.5224609375
"H20004-04-01",2,,,,,,2,,,,,8,1,7,1,2464.5224609375
"H20005-04-01",2,,,,,,2,,,,,8,2,6,1,1232.26123046875
"H20005-04-02",2,,,,,,2,,,,,8,2,8,1,1232.26123046875
"H20006-04-01",2,,,,,,2,,,,,8,2,5,3,2464.5224609375
"H20007-04-01",2,,,,,,2,,,,,8,2,8,1,2464.5224609375
"H20009-04-01",2,,,,,,2,,,,,8,2,8,1,2464.5224609375
"H20010-04-01",2,,,,,,2,,,,,8,2,4,1,821.507446289063
"H20010-04-02",2,,,,,,2,,,,,8,2,3,3,821.507446289063
"H20010-04-03",1,24,1,132,37000,30,2,,,,,6,2,7,1,821.507446289063
"H20011-04-01",2,,,,,,2,,,,,8,2,6,1,2464.5224609375
"H20201-04-01",2,,,,,,2,,,,,8,2,6,1,2464.5224609375
"H20202-04-01",2,,,,,,2,,,,,8,2,6,1,2464.5224609375
"H20203-04-01",2,,,,,,2,,,,,8,2,3,3,1232.26123046875
"H20203-04-02",2,,,,,,2,,,,,8,2,4,3,1232.26123046875
"H20205-04-01",2,,,,,,2,,,,,8,2,9,3,2464.5224609375
"H20206-04-01",2,,,,,,2,,,,,8,2,9,1,2464.5224609375
"H20207-04-01",2,,,,,,2,,,,,8,2,9,3,1232.26123046875
"H20207-04-02",2,,,,,,2,,,,,8,2,7,1,1232.26123046875
"H20208-04-01",2,,,,,,2,,,,,8,2,6,3,2464.5224609375
"H20209-04-01",2,,,,,,2,,,,,8,2,6,1,2464.5224609375
"H20210-04-01",2,,,,,,2,,,,,8,2,6,1,821.507507324219
"H20210-04-02",2,,,,,,2,,,,,8,2,6,1,821.507507324219
"H20210-04-03",2,,,,,,2,,,,,8,2,5,1,821.507507324219
"H20301-04-01",2,,,,,,2,,,,,8,2,5,3,2464.5224609375
"H20302-04-01",2,,,,,,2,,,,,8,2,6,3,2464.5224609375
"H20303-04-01",2,,,,,,2,,,,,8,2,10,1,2464.5224609375
"H20304-04-01",2,,,,,,2,,,,,8,2,3,3,2464.5224609375
"H20305-04-01",2,,,,,,2,,,,,8,2,8,3,2464.5224609375
"H20306-04-01",2,,,,,,2,,,,,8,2,7,3,2464.5224609375
"H20307-04-01",2,,,,,,2,,,,,8,2,7,3,2464.5224609375
"H20309-04-01",2,,,,,,2,,,,,,,,,2464.5224609375
"H20310-04-01",2,,,,,,2,,,,,8,2,6,1,1232.26123046875
"H20310-04-02",2,,,,,,2,,,,,8,2,7,1,1232.26123046875
"H20401-04-01",2,,,,,,2,,,,,8,2,8,1,2464.5224609375
"H20402-04-01",2,,,,,,2,,,,,8,2,6,1,2464.5224609375
"H20403-04-01",2,,,,,,2,,,,,8,2,7,1,2464.5224609375
"H20404-04-01",2,,,,,,2,,,,,8,2,4,2,2464.5224609375
"H20406-04-01",2,,,,,,2,,,,,8,2,2,1,2464.5224609375
"H20407-04-01",2,,,,,,2,,,,,8,1,8,1,2464.5224609375
"H20408-04-01",2,,,,,,2,,,,,8,2,3,1,2464.5224609375
"H20409-04-01",2,,,,,,2,,,,,8,2,8,1,2464.5224609375
"H20411-04-01",2,,,,,,2,,,,,8,2,9,1,2464.5224609375
"H20503-04-01",2,,,,,,2,,,,,6,2,4,1,2204.83032226563
"H20504-04-01",2,,,,,,2,,,,,6,2,4,1,2204.83032226563
"H20505-04-01",2,,,,,,2,,,,,6,2,3,2,2204.83032226563
"H20507-04-01",2,,,,,,2,,,,,6,2,4,2,1102.41516113281
"H20507-04-02",2,,,,,,2,,,,,6,2,5,2,1102.41516113281
"H20508-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H20509-04-01",2,,,,,,2,,,,,6,2,2,1,2204.83032226563
"H20510-04-01",2,,,,,,2,,,,,6,2,8,1,2204.83032226563
"H20601-04-01",2,,,,,,2,,,,,8,2,6,1,1102.41516113281
"H20601-04-02",2,,,,,,2,,,,,8,2,5,2,1102.41516113281
"H20602-04-01",2,,,,,,2,,,,,6,2,5,1,2204.83032226563
"H20603-04-01",2,,,,,,2,,,,,8,2,4,2,734.943359375
"H20603-04-02",2,,,,,,2,,,,,8,2,8,1,734.943359375
"H20603-04-03",2,,,,,,2,,,,,6,2,6,2,734.943359375
"H20604-04-01",2,,,,,,2,,,,,8,2,7,1,2204.83032226563
"H20606-04-01",2,,,,,,2,,,,,8,2,5,1,1102.41516113281
"H20606-04-02",2,,,,,,2,,,,,8,2,3,1,1102.41516113281
"H20607-04-01",2,,,,,,2,,,,,8,1,6,1,2204.83032226563
"H20608-04-01",2,,,,,,2,,,,,8,2,3,1,2204.83032226563
"H20609-04-02",2,,,,,,2,,,,,8,2,7,1,2204.83032226563
"H20610-04-02",2,,,,,,2,,,,,8,2,5,1,734.943359375
"H20610-04-03",2,,,,,,2,,,,,8,2,6,1,734.943359375
"H20610-04-04",2,,,,,,2,,,,,8,2,5,1,734.943359375
"H20611-04-02",2,,,,,,2,,,,,6,2,8,3,2204.83032226563
"H20801-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H20802-04-01",2,,,,,,2,,,,,8,2,7,1,2204.83032226563
"H20803-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H20804-04-01",2,,,,,,2,,,,,8,2,3,1,2204.83032226563
"H20805-04-01",2,,,,,,2,,,,,8,1,8,1,1102.41516113281
"H20805-04-02",2,,,,,,2,,,,,8,2,3,2,1102.41516113281
"H20807-04-01",2,,,,,,2,,,,,8,2,5,1,2204.83032226563
"H20809-04-01",2,,,,,,2,,,,,8,2,5,1,2204.83032226563
"H20810-04-01",2,,,,,,2,,,,,6,2,4,1,2204.83032226563
"H20811-04-01",2,,,,,,2,,,,,8,2,7,1,440.966064453125
"H20811-04-02",2,,,,,,2,,,,,8,2,6,1,440.966064453125
"H20811-04-03",2,,,,,,2,,,,,8,2,6,1,440.966064453125
"H20811-04-04",2,,,,,,2,,,,,8,2,5,1,440.966064453125
"H20811-04-05",2,,,,,,2,,,,,8,2,6,3,440.966064453125
"H20901-04-01",2,,,,,,2,,,,,8,2,0,2,2204.83032226563
"H20902-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H20903-04-02",2,,,,,,2,,,,,8,2,7,1,1102.41516113281
"H20903-04-03",2,,,,,,2,,,,,8,2,6,1,1102.41516113281
"H20904-04-01",2,,,,,,2,,,,,8,2,4,1,2204.83032226563
"H20905-04-01",2,,,,,,2,,,,,8,2,5,1,1102.41516113281
"H20905-04-02",2,,,,,,2,,,,,8,1,6,1,1102.41516113281
"H20906-04-01",2,,,,,,2,,,,,8,2,5,1,1102.41516113281
"H20906-04-03",2,,,,,,2,,,,,8,2,5,1,1102.41516113281
"H20907-04-01",2,,,,,,2,,,,,8,2,4,1,2204.83032226563
"H20908-04-01",2,,,,,,2,,,,,8,2,6,1,1102.41516113281
"H20908-04-02",2,,,,,,2,,,,,6,2,4,1,1102.41516113281
"H20909-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H20910-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H21101-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H21102-04-01",1,20,1,54,30000,30,2,,,,,6,2,3,2,1102.41516113281
"H21102-04-02",2,,,,,,2,,,,,8,2,6,1,1102.41516113281
"H21103-04-01",2,,,,,,2,,,,,8,2,8,3,2204.83032226563
"H21105-04-01",2,,,,,,2,,,,,8,2,8,3,2204.83032226563
"H21106-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H21107-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H21108-04-01",2,,,,,,2,,,,,8,2,8,2,2204.83032226563
"H21109-04-01",1,8,1,144005,85000,30,2,,,,,8,2,8,1,2204.83032226563
"H21110-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H21401-04-01",2,,,,,,2,,,,,8,2,5,1,943.790832519531
"H21401-04-02",2,,,,,,2,,,,,8,2,6,1,943.790832519531
"H21402-04-01",2,,,,,,2,,,,,4,2,10,3,1887.58166503906
"H21403-04-01",2,,,,,,2,,,,,8,2,2,3,1887.58166503906
"H21404-04-01",2,,,,,,2,,,,,8,2,3,3,1887.58166503906
"H21405-04-01",2,,,,,,2,,,,,8,2,6,3,1887.58166503906
"H21406-04-01",2,,,,,,2,,,,,8,2,6,1,1887.58166503906
"H21407-04-01",2,,,,,,2,,,,,8,2,6,1,1887.58166503906
"H21408-04-01",2,,,,,,2,,,,,8,2,7,1,1887.58166503906
"H21409-04-01",2,,,,,,2,,,,,4,2,10,1,1887.58166503906
"H21410-04-01",2,,,,,,2,,,,,8,2,5,3,1887.58166503906
"H21501-04-01",2,,,,,,2,,,,,8,2,4,3,1887.58166503906
"H21502-04-01",2,,,,,,2,,,,,8,2,3,3,1887.58166503906
"H21503-04-01",2,,,,,,2,,,,,8,2,7,3,1887.58166503906
"H21505-04-01",2,,,,,,2,,,,,8,2,5,3,1887.58166503906
"H21506-04-01",2,,,,,,2,,,,,8,2,5,3,1887.58166503906
"H21507-04-01",2,,,,,,2,,,,,8,2,3,3,1887.58166503906
"H21509-04-01",2,,,,,,2,,,,,8,2,4,3,1887.58166503906
"H21510-04-01",2,,,,,,2,,,,,8,2,4,3,1887.58166503906
"H21601-04-01",2,,,,,,2,,,,,8,2,6,3,1887.58166503906
"H21602-04-01",2,,,,,,2,,,,,8,2,4,2,1887.58166503906
"H21603-04-01",2,,,,,,2,,,,,8,2,4,3,1887.58166503906
"H21608-04-01",2,,,,,,2,,,,,8,2,3,3,1887.58166503906
"H21609-04-01",2,,,,,,2,,,,,8,2,5,1,1887.58166503906
"H21610-04-01",2,,,,,,2,,,,,8,2,3,3,1887.58166503906
"H21612-04-01",2,,,,,,2,,,,,8,2,5,1,943.790832519531
"H21612-04-02",2,,,,,,2,,,,,8,2,3,1,943.790832519531
"H21701-04-01",2,,,,,,2,,,,,9,2,6,3,1887.58166503906
"H21703-04-01",2,,,,,,2,,,,,8,2,3,3,1887.58166503906
"H21704-04-01",2,,,,,,2,,,,,6,2,4,3,1887.58166503906
"H21705-04-01",2,,,,,,2,,,,,9,2,20,3,1887.58166503906
"H21706-04-01",2,,,,,,2,,,,,8,2,6,3,1887.58166503906
"H21708-04-01",2,,,,,,2,,,,,8,2,4,3,1887.58166503906
"H21709-04-01",2,,,,,,2,,,,,8,2,4,3,1887.58166503906
"H21710-04-01",2,,,,,,2,,,,,8,2,3,3,1887.58166503906
"H21711-04-01",2,,,,,,2,,,,,8,2,5,3,1887.58166503906
"H22001-04-01",2,,,,,,2,,,,,6,2,4,3,2204.83032226563
"H22002-04-01",1,24,1,60,48000,30,2,,,,,6,2,7,1,2204.83032226563
"H22003-04-01",2,,,,,,2,,,,,6,2,6,1,2204.83032226563
"H22004-04-01",2,,,,,,2,,,,,8,1,10,1,551.207580566406
"H22004-04-03",1,24,4,,15000,30,2,,,,,6,2,4,1,551.207580566406
"H22004-04-04",2,,,,,,2,,,,,8,2,6,1,551.207580566406
"H22004-04-05",2,,,,,,2,,,,,6,2,7,3,551.207580566406
"H22006-04-01",2,,,,,,2,,,,,8,2,5,2,2204.83032226563
"H22014-04-01",2,,,,,,2,,,,,6,2,7,3,2204.83032226563
"H22101-04-01",2,,,,,,2,,,,,8,2,6,1,734.943481445313
"H22101-04-02",2,,,,,,2,,,,,8,2,8,3,734.943481445313
"H22101-04-03",2,,,,,,2,,,,,8,2,3,2,734.943481445313
"H22102-04-02",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H22103-04-01",2,,,,,,2,,,,,8,2,10,1,2204.83032226563
"H22105-04-01",2,,,,,,2,,,,,8,2,4,1,2204.83032226563
"H22106-04-01",2,,,,,,2,,,,,8,2,4,3,2204.83032226563
"H22109-04-01",2,,,,,,2,,,,,8,2,9,1,2204.83032226563
"H22110-04-01",2,,,,,,2,,,,,6,2,3,1,367.471740722656
"H22110-04-02",2,,,,,,2,,,,,8,2,4,1,367.471740722656
"H22110-04-03",2,,,,,,2,,,,,8,2,6,1,367.471740722656
"H22110-04-04",2,,,,,,2,,,,,8,2,8,1,367.471740722656
"H22110-04-05",2,,,,,,2,,,,,8,2,2,1,367.471740722656
"H22110-04-06",2,,,,,,2,,,,,6,2,5,1,367.471740722656
"H22111-04-01",2,,,,,,2,,,,,8,2,2,1,2204.83032226563
"H22301-04-01",1,24,2,,,,2,,,,,6,2,7,3,2204.83032226563
"H22302-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H22303-04-01",2,,,,,,2,,,,,8,2,3,1,551.207580566406
"H22303-04-02",2,,,,,,2,,,,,8,2,3,1,551.207580566406
"H22303-04-03",2,,,,,,2,,,,,8,2,4,1,551.207580566406
"H22303-04-04",2,,,,,,2,,,,,8,2,6,3,551.207580566406
"H22305-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H22306-04-01",2,,,,,,2,,,,,8,2,6,3,2204.83032226563
"H22307-04-01",2,,,,,,2,,,,,8,2,9,1,2204.83032226563
"H22308-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H22309-04-01",2,,,,,,2,,,,,8,2,6,1,1102.41516113281
"H22309-04-02",2,,,,,,2,,,,,8,2,4,1,1102.41516113281
"H22310-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H22401-04-01",2,,,,,,2,,,,,8,2,8,1,1102.41516113281
"H22401-04-02",2,,,,,,2,,,,,8,2,6,1,1102.41516113281
"H22404-04-01",2,,,,,,2,,,,,6,2,3,2,2204.83032226563
"H22406-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H22407-04-01",2,,,,,,2,,,,,6,2,3,3,734.943359375
"H22407-04-02",2,,,,,,2,,,,,6,2,4,1,734.943359375
"H22407-04-03",1,8,2,,,,2,,,,,6,2,3,2,734.943359375
"H22408-04-01",2,,,,,,2,,,,,8,2,9,1,2204.83032226563
"H22409-04-01",2,,,,,,2,,,,,6,2,8,3,2204.83032226563
"H22410-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H22501-04-01",2,,,,,,2,,,,,8,2,5,3,2204.83032226563
"H22502-04-01",2,,,,,,2,,,,,8,2,7,1,1102.41516113281
"H22502-04-02",2,,,,,,2,,,,,8,2,5,1,1102.41516113281
"H22503-04-01",2,,,,,,2,,,,,8,2,6,1,1102.41516113281
"H22503-04-02",2,,,,,,2,,,,,8,2,5,1,1102.41516113281
"H22504-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H22505-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H22506-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H22507-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H22509-04-01",2,,,,,,2,,,,,8,2,6,1,2204.83032226563
"H22510-04-01",2,,,,,,2,,,,,8,2,8,1,2204.83032226563
"H22802-04-01",2,,,,,,2,,,,,8,2,6,2,2204.83032226563
"H22803-04-01",2,,,,,,2,,,,,8,2,5,3,2204.83032226563
"H22805-04-01",2,,,,,,2,,,,,8,2,9,1,2204.83032226563
"H22806-04-01",2,,,,,,2,,,,,8,2,3,1,2204.83032226563
"H22807-04-01",2,,,,,,2,,,,,8,2,4,1,2204.83032226563
"H23101-04-01",2,,,,,,2,,,,,8,2,4,1,2204.83032226563
"H23102-04-01",2,,,,,,2,,,,,8,2,10,1,2204.83032226563
"H23103-04-01",2,,,,,,2,,,,,8,2,8,3,1102.41516113281
"H23103-04-02",2,,,,,,2,,,,,8,2,5,1,1102.41516113281
"H23104-04-01",2,,,,,,2,,,,,3,2,6,1,1102.41516113281
"H23104-04-02",2,,,,,,2,,,,,8,2,5,3,1102.41516113281
